[  285535ms] [INFO] [Status] محطة وقود الهاني | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] مستودع الغاز الهاني | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] Oilibya | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] موزع غاز الطهي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] موزع غاز | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] شركة البريقة لتسويق النفط مستودع الهاني | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة وقود ابوستة | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة وقود الشرارة | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة وقود بن عاشور | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة وقود زاوية الدهماني | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة زاوية الدهماني للوقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] Oilibya | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة وقود باب بن غشير | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
